n,original,l2,l1,noisy
0,1.15725e-022,0.0565364,0.00679714,0.0200768
1,6.13592e-005,0.0549988,0.00275656,0.0381016
2,0.000122718,0.0534278,-0.000201482,0.0186052
3,0.000184077,0.0518465,-0.00208147,0.0221139
4,0.000245436,0.0502793,-0.00291904,-0.0376155
5,0.000306794,0.0487511,-0.00277857,0.0148019
6,0.000368152,0.0472866,-0.00174998,0.0150976
7,0.000429509,0.0459095,5.5092e-005,0.00531654
8,0.000490866,0.0446419,0.00250773,0.00511261
9,0.000552222,0.0435038,0.00546648,0.0105253
10,0.000613577,0.0425121,0.00878233,-0.0180967
11,0.000674931,0.0416806,0.0123037,0.0313984
12,0.000736284,0.0410192,0.0158816,-0.0154736
13,0.000797636,0.0405337,0.0193739,0.0117744
14,0.000858987,0.0402255,0.0226498,-0.00127881
15,0.000920336,0.0400917,0.0255936,0.01621
16,0.000981685,0.0401252,0.0281078,-0.00763782
17,0.00104303,0.0403145,0.0301154,0.0161141
18,0.00110438,0.0406447,0.0315616,0.0359513
19,0.00116572,0.0410971,0.0324145,-0.0144
20,0.00122706,0.0416504,0.0326655,0.0247654
21,0.0012884,0.0422814,0.0323283,-0.0270637
22,0.00134974,0.0429649,0.0314374,0.00445655
23,0.00141107,0.0436755,0.0300464,0.0249696
24,0.00147241,0.0443876,0.028225,0.0303403
25,0.00153374,0.0450764,0.0260561,0.0230121
26,0.00159507,0.045719,0.0236323,-0.0169704
27,0.0016564,0.0462945,0.0210524,0.0230595
28,0.00171772,0.0467849,0.0184176,0.0199939
29,0.00177904,0.0471758,0.0158279,-0.0157465
30,0.00184036,0.0474564,0.0133783,0.0325301
31,0.00190168,0.0476203,0.0111561,0.0370603
32,0.00196299,0.0476651,0.00923766,0.00880067
33,0.0020243,0.0475928,0.00768621,-0.0192882
34,0.00208561,0.0474094,0.00654992,0.009507
35,0.00214691,0.0471248,0.00586066,-0.00802204
36,0.00220821,0.0467524,0.00563337,-0.020638
37,0.00226951,0.0463085,0.00586596,0.0292581
38,0.00233081,0.0458116,0.00653984,-0.00725401
39,0.0023921,0.045282,0.00762109,0.0136987
40,0.00245338,0.0447409,0.00906196,-0.00597756
41,0.00251467,0.0442095,0.010803,0.0469633
42,0.00257595,0.0437086,0.0127753,0.00238567
43,0.00263722,0.0432574,0.0149035,-0.0158196
44,0.00269849,0.0428734,0.017108,0.00547457
45,0.00275976,0.0425713,0.0193085,0.000925438
46,0.00282103,0.0423626,0.0214264,0.0543889
47,0.00288229,0.0422554,0.0233878,-0.00858799
48,0.00294354,0.0422541,0.0251256,-0.0341832
49,0.00300479,0.042359,0.0265823,0.0194517
50,0.00306604,0.0425666,0.0277112,0.0290963
51,0.00312728,0.0428697,0.0284781,-0.0190508
52,0.00318851,0.0432575,0.0288622,0.0169207
53,0.00324975,0.0437162,0.0288566,-0.0040416
54,0.00331097,0.0442297,0.0284683,-0.0569594
55,0.0033722,0.0447795,0.0277173,-0.0145246
56,0.00343341,0.0453463,0.0266362,0.0105274
57,0.00349462,0.04591,0.0252685,-0.0131333
58,0.00355583,0.0464507,0.023667,0.0132854
59,0.00361703,0.0469495,0.0218918,0.0235095
60,0.00367823,0.0473891,0.0200081,0.0119304
61,0.00373942,0.0477543,0.0180839,0.0111344
62,0.0038006,0.048033,0.0161874,-0.0275197
63,0.00386178,0.048216,0.014385,0.0392387
64,0.00392295,0.0482979,0.0127391,0.0185228
65,0.00398412,0.0482768,0.0113054,0.0367781
66,0.00404528,0.0481549,0.0101321,0.00661646
67,0.00410644,0.047938,0.00925739,-0.0175519
68,0.00416759,0.0476353,0.00870909,-0.00614259
69,0.00422873,0.0472594,0.00850346,0.0199808
70,0.00428987,0.0468255,0.00864492,0.0093763
71,0.004351,0.046351,0.00912613,0.0443975
72,0.00441212,0.0458547,0.00992832,0.0346248
73,0.00447324,0.0453563,0.0110222,0.0599016
74,0.00453435,0.0448755,0.0123688,0.00346736
75,0.00459545,0.0444316,0.0139214,0.0371928
76,0.00465654,0.0440422,0.0156265,0.0436441
77,0.00471763,0.0437231,0.0174264,-0.00705451
78,0.00477872,0.0434874,0.0192605,-0.0262485
79,0.00483979,0.0433453,0.0210677,-0.0523793
80,0.00490086,0.0433034,0.0227882,0.0268176
81,0.00496192,0.0433644,0.0243655,0.0155922
82,0.00502298,0.0435276,0.0257483,0.0361412
83,0.00508402,0.0437881,0.0268917,-0.00813659
84,0.00514506,0.0441375,0.027759,-0.0181202
85,0.0052061,0.0445642,0.0283225,0.0246019
86,0.00526713,0.0450535,0.0285643,0.013435
87,0.00532815,0.0455884,0.028477,0.0159336
88,0.00538916,0.0461502,0.0280635,7.96787e-005
89,0.00545017,0.046719,0.0273368,0.0148114
90,0.00551118,0.0472747,0.0263201,0.017415
91,0.00557218,0.0477977,0.025045,0.0124447
92,0.00563318,0.0482694,0.0235516,-0.00395764
93,0.00569418,0.048673,0.0218862,0.0316438
94,0.00575518,0.0489943,0.0201008,0.00280358
95,0.00581619,0.0492222,0.0182507,-0.0353848
96,0.00587721,0.0493489,0.0163936,0.0138003
97,0.00593823,0.0493703,0.0145874,0.0221092
98,0.00599928,0.0492863,0.012889,-0.0116367
99,0.00606036,0.0491008,0.0113524,0.0280792
100,0.00612147,0.0488215,0.0100274,0.00287355
101,0.00618262,0.0484594,0.00895853,0.0189121
102,0.00624384,0.048029,0.00818347,0.0301552
103,0.00630514,0.0475471,0.00773253,0.00817189
104,0.00636653,0.0470328,0.00762786,-0.0581565
105,0.00642806,0.0465063,0.007883,0.00906529
106,0.00648974,0.0459885,0.00850272,-0.0148867
107,0.00655163,0.0455,0.00948302,0.0135856
108,0.00661377,0.0450605,0.0108115,-0.00970258
109,0.00667622,0.0446879,0.0124676,0.00714442
110,0.00673905,0.0443978,0.0144238,0.0381776
111,0.00680236,0.0442028,0.0166457,-0.0157336
112,0.00686625,0.0441119,0.0190935,0.0786611
113,0.00693084,0.0441306,0.0217232,-0.0149125
114,0.00699631,0.0442599,0.0244872,-0.000705166
115,0.00706282,0.0444972,0.0273357,0.0423317
116,0.00713059,0.0448355,0.0302182,0.0395747
117,0.0071999,0.0452642,0.0330843,0.0300945
118,0.00727105,0.0457693,0.0358846,0.0126578
119,0.0073444,0.0463338,0.0385724,0.00493075
120,0.00742039,0.0469385,0.041104,-0.0160196
121,0.00749952,0.0475627,0.0434398,0.0729124
122,0.00758238,0.0481848,0.0455448,0.0203762
123,0.00766966,0.0487833,0.0473893,0.00218328
124,0.00776217,0.0493377,0.0489496,-0.00257387
125,0.00786082,0.0498289,0.0502074,-0.0418407
126,0.00796668,0.0502405,0.0511508,0.0128234
127,0.008081,0.0505588,0.0517741,-0.00529642
128,0.00820518,0.0507742,0.0520773,0.0294073
129,0.00834082,0.0508807,0.0520662,-0.0188121
130,0.00848978,0.0508769,0.0517522,0.0281145
131,0.00865413,0.050766,0.0511515,0.0139807
132,0.00883622,0.0505553,0.0502847,0.0106494
133,0.00903872,0.0502568,0.0491766,0.0661168
134,0.00926459,0.049886,0.0478552,0.0332117
135,0.00951717,0.0494621,0.0463513,-0.00811237
136,0.00980017,0.0490071,0.0446977,0.0242026
137,0.0101177,0.0485451,0.0429287,0.00835949
138,0.0104743,0.0481014,0.0410791,0.0660051
139,0.010875,0.0477021,0.0391842,-0.0309007
140,0.0113253,0.0473725,0.0372784,-0.0150877
141,0.0118312,0.0471369,0.0353953,-0.0116397
142,0.0123992,0.0470177,0.0335665,0.024144
143,0.0130363,0.0470342,0.0318216,0.00844837
144,0.0137501,0.0472025,0.0301874,-0.00511165
145,0.0145488,0.047535,0.0286876,-0.054473
146,0.0154409,0.0480396,0.0273425,-0.0114653
147,0.0164359,0.0487199,0.0261683,-0.016394
148,0.0175432,0.0495752,0.0251775,0.0601589
149,0.0187731,0.0506003,0.0243782,0.00299006
150,0.0201362,0.0517862,0.0237741,0.00139884
151,0.0216435,0.0531204,0.0233647,0.046344
152,0.0233063,0.0545874,0.0231452,-0.00115181
153,0.0251361,0.0561696,0.0231067,0.00843505
154,0.0271445,0.057848,0.0232363,0.0380243
155,0.0293433,0.0596032,0.0235175,0.023897
156,0.0317441,0.0614161,0.0239307,0.0766161
157,0.0343582,0.0632688,0.0244532,0.0350598
158,0.0371968,0.0651454,0.0250605,0.0277142
159,0.0402702,0.0670332,0.025726,0.0836221
160,0.0435883,0.0689224,0.0264222,0.0466418
161,0.0471601,0.0708076,0.0271213,0.0670242
162,0.0509935,0.0726875,0.0277957,0.0542795
163,0.055095,0.0745651,0.0284186,0.0684555
164,0.0594698,0.0764479,0.0289652,0.0173264
165,0.0641215,0.0783478,0.0294125,0.0814154
166,0.0690519,0.0802801,0.0297409,0.043062
167,0.0742605,0.0822635,0.0299338,0.033749
168,0.0797448,0.0843191,0.0299788,0.0778606
169,0.0855,0.0864696,0.0298675,0.0926287
170,0.0915187,0.0887381,0.0295963,0.09064
171,0.0977908,0.0911476,0.0291659,0.104106
172,0.104303,0.0937191,0.028582,0.108601
173,0.111041,0.0964713,0.0278547,0.126259
174,0.117985,0.0994191,0.0269984,0.126009
175,0.125114,0.102573,0.0260315,0.13533
176,0.132404,0.105937,0.024976,0.158659
177,0.139827,0.109512,0.0238564,0.102647
178,0.147354,0.113288,0.0226999,0.115705
179,0.154953,0.117251,0.0215345,0.145361
180,0.162588,0.121381,0.0203893,0.171647
181,0.170223,0.125648,0.0192928,0.156971
182,0.177819,0.130018,0.0182725,0.105616
183,0.185336,0.134451,0.0173541,0.195045
184,0.192732,0.138903,0.0165601,0.173879
185,0.199964,0.143325,0.01591,0.179264
186,0.20699,0.147665,0.0154188,0.21001
187,0.213767,0.151871,0.0150973,0.237917
188,0.220251,0.15589,0.014951,0.240035
189,0.226402,0.159672,0.0149804,0.227064
190,0.232177,0.163168,0.0151806,0.244037
191,0.23754,0.166335,0.0155416,0.207022
192,0.242452,0.169132,0.0160488,0.213647
193,0.246879,0.171529,0.0166827,0.228767
194,0.250792,0.1735,0.0174202,0.266246
195,0.25416,0.175028,0.0182351,0.262882
196,0.256961,0.176103,0.0190987,0.258448
197,0.259175,0.176725,0.0199811,0.252267
198,0.260784,0.176902,0.0208515,0.292496
199,0.261778,0.176649,0.0216802,0.304492
200,0.26215,0.17599,0.0224385,0.269554
201,0.261898,0.174953,0.0231004,0.224388
202,0.261023,0.173574,0.0236432,0.261277
203,0.259533,0.17189,0.0240482,0.23291
204,0.257439,0.169944,0.0243016,0.267174
205,0.254757,0.167778,0.0243948,0.277252
206,0.251508,0.165437,0.0243247,0.251789
207,0.247715,0.16296,0.0240941,0.254181
208,0.243407,0.160386,0.0237114,0.172256
209,0.238615,0.157752,0.0231904,0.245654
210,0.233372,0.155085,0.0225501,0.193656
211,0.227716,0.152411,0.0218139,0.222547
212,0.221685,0.149747,0.0210091,0.246348
213,0.21532,0.147103,0.0201657,0.200989
214,0.208664,0.144485,0.0193155,0.187891
215,0.201758,0.14189,0.0184913,0.206859
216,0.194645,0.139309,0.0177257,0.187543
217,0.187369,0.136729,0.0170498,0.170405
218,0.179973,0.134134,0.0164923,0.170235
219,0.172497,0.131501,0.0160785,0.145372
220,0.164982,0.12881,0.0158294,0.142121
221,0.157468,0.126038,0.0157612,0.192631
222,0.14999,0.123162,0.015884,0.126456
223,0.142584,0.120166,0.0162023,0.151364
224,0.135282,0.117033,0.016714,0.0862701
225,0.128114,0.113754,0.0174111,0.0996281
226,0.121107,0.110326,0.0182792,0.0744702
227,0.114285,0.106752,0.0192986,0.113556
228,0.10767,0.103043,0.0204442,0.146479
229,0.10128,0.0992183,0.021687,0.0796172
230,0.095131,0.0953033,0.0229945,0.102777
